NAME_OF_DISTRICT_COUNCIL_DISTRICT_EN,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DISTRICT_TC,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DISTRICT_SC,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH,GeometryLongitude,GeometryLatitude
Yuen Long,T Town North,"33 Tin Wah Rd, Tin Shui Wai",元朗區,T Town North,天水圍天華路33號,元朗区,T Town North,天水围天华路33号,0,27,0,0,0,6,0,0,0,-,-,113.99888400000009,22.462063000000057
Yuen Long,Shui Lau Tin Village Office,"27B Shui Lau Tin, Yuen Long",元朗區,水流田村公所,元朗八鄉水流田村村公所水流田27B號,元朗区,水流田村公所,元朗八乡水流田村村公所水流田27B号,0,0,0,0,0,0,2,0,0,-,-,114.08338100000003,22.431211000000076
Yuen Long,Wang Toi Shan Yau Uk Tsuen,"DD111 LOT 1545SBRP, 1546SBRP (part of),Wang Toi Shan Yau Uk Tsuen, Pat Heung, Yuen Long, NT",元朗區,橫台山邱屋村,"橫台山邱屋村 DD111 LOT 1545SBRP (部份), 1546SBRP (部份)",元朗区,横台山邱屋村,"横台山邱屋村 DD111 LOT 1545SBRP (部份), 1546SBRP (部份)",0,0,0,0,0,4,2,2,0,-,-,114.0910510000001,22.440641000000028
Yuen Long,Lui Kung Tin,"No. 49, Lui Kung Tin Village",元朗區,雷公田村,雷公田村49號,元朗区,雷公田村,雷公田村49号,0,0,0,0,0,0,4,0,0,-,-,114.10522400000002,22.426543000000038
Yuen Long,Wang Toi Leung Uk Tsuen,"DD111 LOT 1689SA (部份), 1689SB, 1689SBSS1, 1689SC, 1689SD, 1695, 1696(part of), Leung Uk Tsuen",元朗區,橫台山梁屋村,"梁屋村DD111 LOT 1689SA (部份), 1689SB, 1689SBSS1, 1689SC, 1689SD, 1695, 1696(部分)",元朗区,横台山梁屋村,"梁屋村DD111 LOT 1689SA (部份), 1689SB, 1689SBSS1, 1689SC, 1689SD, 1695, 1696(部分)",0,0,0,0,0,4,0,0,0,-,-,114.08684000000005,22.440240000000074
Yuen Long,Shan Ha Road,69 Shan Ha Road,元朗區,山下路,元朗山下路69號,元朗区,山下路,元朗山下路69号,0,0,0,0,0,4,0,0,0,-,-,114.01543500000002,22.43644400000005
Yuen Long,Kung Um Road,300 Kung Um Road,元朗區,公庵路,公庵路300號,元朗区,公庵路,公庵路300号,0,0,0,0,0,4,0,0,0,-,-,114.02212200000008,22.42550300000005
Yuen Long,Tin Yiu Car Park,"2 Tin Wu Rd, Tin Shui Wai",元朗區,天耀停車場,天水圍天湖路2號,元朗区,天耀停车场,天水围天湖路2号,0,18,0,0,0,0,0,0,0,-,-,114.00286700000004,22.451464000000044
Yuen Long,Tin Wah Estate,"21 Tin Tan St, Tin Shui Wai",元朗區,天華邨,天水圍天壇街21號,元朗区,天华邨,天水围天坛街21号,0,12,0,0,0,0,0,0,0,-,-,113.99637200000006,22.461262000000033
Yuen Long,Tin Shui Car Park ,"Tin Shui Shopping Centre, 9 Tin Shui Road, Tin Shui Wai, Yuen Long, New Territories",元朗區,天瑞停車場,新界元朗天水圍天瑞路9號天瑞商場,元朗区,天瑞停车场,新界元朗天水围天瑞路9号天瑞商场,0,24,0,0,0,0,0,0,0,-,-,113.99843500000009,22.45633300000003
Yuen Long,FAIRVIEW PARK - TOWN CENTRE,"GRINKGO ROAD, YUEN LONG",元朗區,錦綉花園市中心,元朗 銀杏路,元朗区,锦绣花园市中心,元朗 银杏路,0,0,0,0,0,2,0,0,0,-,-,114.04596900000001,22.476315000000056
Yuen Long,Tin Yau Car Park,"Tin Yau Court Car Park, 1 Tin Shing Road, Tin Shui Wai, Yuen Long, New Territories",元朗區,天祐停車場,新界元朗天水圍天城路1號天祐苑停車場,元朗区,天佑停车场,新界元朗天水围天城路1号天佑苑停车场,0,9,0,0,0,0,0,0,0,-,-,114.00639600000011,22.45164200000005
Yuen Long,Tin Chak Car Park A ,"Tin Chak Shopping Centre, 71, 73, 75 & 77 Tin Shui Road, Tin Shui Wai, Yuen Long, New Territories",元朗區,天澤A停車場,"新界元朗天水圍天瑞路71, 73, 75及77號天澤商場",元朗区,天泽A停车场,"新界元朗天水围天瑞路71, 73, 75及77号天泽商场",0,11,0,0,0,0,0,0,0,-,-,113.99744900000007,22.466840000000047
Yuen Long,Long Ping Car Park B ,"Long Ping Commercial Centre, 1 Long Ping Road, Yuen Long, New Territories",元朗區,朗屏B停車場,新界元朗朗屏路1號朗屏商場,元朗区,朗屏B停车场,新界元朗朗屏路1号朗屏商场,0,20,0,0,0,0,0,0,0,-,-,114.0230610000001,22.450374000000068
Yuen Long,Long Ping Car Park D,"Long Ping Commercial Centre, 1 Long Ping Road, Yuen Long, New Territories",元朗區,朗屏D停車場,新界元朗朗屏路1號朗屏商場,元朗区,朗屏D停车场,新界元朗朗屏路1号朗屏商场,0,27,0,0,0,0,0,0,0,-,-,114.02312300000006,22.448067000000037
Yuen Long,Tin Tsz Car Park ,"Tin Tsz Shopping Centre, 9 Tin Hei Street, Tin Shui Wai, Yuen Long, New Territories",元朗區,天慈停車場,新界元朗天水圍天喜街9號天慈商場,元朗区,天慈停车场,新界元朗天水围天喜街9号天慈商场,0,18,0,0,0,0,0,0,0,-,-,114.00808800000004,22.453857000000028
Tuen Mun,Hong Kong Gold Coast Piazza,"1 Castle Peak Road, Castle Peak Bay, Tuen Mun",屯門區,黃金海岸商場,屯門青山灣青山公路1號,屯门区,黄金海岸商场,屯门青山湾青山公路1号,0,0,0,30,0,6,2,0,0,Tesla Wall Connector,-,113.99268300000006,22.37248500000004
Tuen Mun,Hong Kong Gold Coast Hotel,Golden Beach Path,屯門區,香港黃金海岸酒店,屯門黃金泳灘徑,屯门区,香港黄金海岸酒店,屯门黄金泳滩径,0,2,0,0,0,0,0,0,0,-,-,113.98949700000003,22.372403000000077
Tuen Mun,Oceania Height,"2 Hoi Chu Road, Tuen Mun",屯門區,海典軒,屯門海珠路2號,屯门区,海典轩,屯门海珠路2号,0,0,0,0,0,0,0,0,3,Tesla Wall Connector / Supercharger,-,113.97169100000008,22.383786000000043
Tuen Mun,Parklane Centre,"25 Kin Wing Street, Tuen Mun",屯門區,百利中心,屯門建榮街25號,屯门区,百利中心,屯门建荣街25号,0,0,0,0,0,2,0,0,0,-,-,113.96964500000001,22.39629800000006
Tuen Mun,Tuen Mun Town Plaza Phase 1,"1 Tuen Shun Street, Tuen Mun",屯門區,屯門市廣場第一期,屯門屯順街1號,屯门区,屯门市广场第一期,屯门屯顺街1号,0,3,0,14,1,3,1,0,3,-,-,113.97743100000002,22.39341200000007
Tuen Mun,Tuen Mun Town Plaza Phase 2,"3 Tuen Lung Street, Tuen Mun, New Territories",屯門區,屯門市廣場第二期,新界屯門屯隆街3號,屯门区,屯门市广场第二期,新界屯门屯隆街3号,2,0,0,0,0,0,0,0,0,-,-,113.97645200000011,22.39387800000003
Tuen Mun,Tuen Mun Town Plaza Phase 3,"2 Tuen Yan Street, Tuen Mun",屯門區,屯門市廣場第三期,屯門屯仁街2號,屯门区, 屯门市广场第三期,屯门屯仁街2号,2,0,0,0,0,0,0,0,0,-,-,113.977348,22.394528000000037
Tuen Mun,Sun Tuen Mun Centre,"LUNG MUN ROAD, TUEN MUN",屯門區,新屯門中心,屯門 龍門路,屯门区,新屯门中心,屯门 龙门路,0,3,0,0,0,0,3,0,0,-,-,113.96478300000001,22.381260000000054
Tuen Mun,Hanford Plaza,"Sam Shing St, Tuen Mun",屯門區,恆福商場,屯門三聖街,屯门区,恒福商场,屯门三圣街,0,1,0,0,0,0,0,0,0,-,-,113.97678600000006,22.381803000000048
